"CAN-QC-71","Frelighsburg 7.2 E - Mount Pinnacle Land Trust","5/26/2021","5/16/2021","3/5/2022",270,91,239,10,31,294,0,,0,"Closed","CAN","Quebec",,1194,"CoCoRaHS","9/20/2022"
"CAN-QC-70","Luskville 14.5 SE","5/20/2021",,,0,,,,,,0,,0,"Closed","CAN","Quebec",,687,"CoCoRaHS","8/30/2022"
"CAN-QC-69","Frelighsburg 10.3 E - Mount Pinnacle Land Trust","4/25/2021","5/16/2021","2/10/2025",1350,98,1306,19,44,1367,31,1,33,"Reporting","CAN","Quebec",,692,"CoCoRaHS","2/10/2025"
"CAN-QC-68","Granby 1.0 ESE","12/2/2020","11/29/2018","9/14/2022",182,13,140,13,42,1386,0,,0,"Closed","CAN","Quebec",,417,"CoCoRaHS","9/14/2022"
"CAN-QC-67","Verdun 0.8 SSW - SaJESS","11/16/2020","12/5/2020","5/1/2021",92,62,76,6,16,148,0,,0,"Closed","CAN","Quebec",,50,"CoCoRaHS","9/19/2022"
"CAN-QC-66","Saint-Armand 4.2 ESE","9/30/2020","12/1/2020","2/3/2025",1503,98,1501,1,2,1526,0,,0,"Reporting","CAN","Quebec",,302,"CoCoRaHS","2/4/2025"
"CAN-QC-65","Châteauguay 1.9 WSW","9/20/2020","9/28/2020","8/9/2021",65,20,65,,,316,0,,0,"Closed","CAN","Quebec",,114,"CoCoRaHS","9/19/2022"
"CAN-QC-64","Québec 1.4 NW","9/17/2020",,,0,,,,,,0,,0,"Closed","CAN","Quebec",,563,"CoCoRaHS","8/30/2022"
"CAN-QC-63","Gatineau 1.4 SSE","9/17/2020",,,0,,,,,,0,,0,"Closed","CAN","Quebec",,550,"CoCoRaHS","7/26/2022"
"CAN-QC-62","Saint-Luc-de-Bellechasse 2.2 SE","9/8/2020","9/26/2020","2/10/2025",1594,99,255,222,1339,1599,59,,2,"Reporting","CAN","Quebec",,1481,"CoCoRaHS","2/10/2025"
"CAN-QC-61","Prévost 0.9 NE","8/12/2020","8/29/2020","2/10/2025",1618,99,1519,11,99,1627,0,,5,"Reporting","CAN","Quebec",,595,"CoCoRaHS","2/10/2025"
"CAN-QC-60","Mont-Royal 3.3 NNE","5/11/2020",,,0,,,,,,0,,0,"Closed","CAN","Quebec",,187,"CoCoRaHS","6/15/2020"
"CAN-QC-59","Notre-Dame-des-Bois 0.2 SW","4/13/2020","4/22/2020","10/7/2024",378,23,315,19,63,1630,0,,0,"Closed","CAN","Quebec",,1702,"CoCoRaHS","10/8/2024"
"CAN-QC-58","Bromont 2.3 SE","4/10/2020","4/10/2020","10/3/2020",33,18,33,,,177,0,,0,"Closed","CAN","Quebec",,951,"CoCoRaHS","9/19/2022"
"CAN-QC-57","Acton Vale 1.3 N","4/10/2020","4/11/2020","2/10/2025",1541,87,1541,,,1767,0,,0,"Reporting","CAN","Quebec",,338,"CoCoRaHS","2/10/2025"
"CAN-QC-56","Sutton 2.6 N","4/1/2020","4/9/2020","2/10/2025",1394,78,961,159,433,1769,11,2,0,"Reporting","CAN","Quebec",,780,"CoCoRaHS","2/10/2025"
"CAN-QC-55","Deux-Montagnes 2.9 ESE","11/18/2019","11/19/2019","2/10/2025",1473,77,1298,38,175,1911,2,,1,"Reporting","CAN","Quebec",,82,"CoCoRaHS","2/10/2025"
"CAN-QC-54","Umiujaq 0.3 NE","10/12/2019",,,0,,,,,,0,,0,"Closed","CAN","Quebec",,56,"CoCoRaHS","6/15/2020"
"CAN-QC-53","Sainte-Foy 1.3 NW","9/25/2019","9/29/2019","12/12/2024",1139,59,977,42,162,1902,0,3,0,"Reporting","CAN","Quebec",,331,"CoCoRaHS","12/12/2024"
"CAN-QC-52","Shawinigan 5.0 WNW","8/28/2019","8/29/2019","1/25/2025",1970,99,1711,79,259,1977,0,,0,"Reporting","CAN","Quebec",,467,"CoCoRaHS","1/25/2025"
"CAN-QC-51","Beloeil 0.7 NW","8/23/2019","9/13/2019","4/24/2023",1216,92,1087,40,129,1320,0,,0,"Closed","CAN","Quebec",,60,"CoCoRaHS","4/24/2023"
"CAN-QC-50","Ripon 4.5 NNE","7/21/2019","7/19/2019","7/29/2020",128,33,123,2,5,377,0,1,0,"Closed","CAN","Quebec",,621,"CoCoRaHS","9/7/2022"
"CAN-QC-49","Magog 6.3 S","7/20/2019",,,0,,,,,,0,,0,"Closed","CAN","Quebec",,949,"CoCoRaHS","6/15/2020"
"CAN-QC-48","Montréal 2.6 SSW","7/20/2019","7/22/2019","2/10/2025",1886,92,1886,,,2031,0,,0,"Reporting","CAN","Quebec",,203,"CoCoRaHS","2/10/2025"
"CAN-QC-47","Sainte-Foy 1.8 ENE","7/20/2019","8/27/2019","2/10/2025",1995,100,1888,47,107,1995,58,,3,"Reporting","CAN","Quebec",,251,"CoCoRaHS","2/10/2025"
"CAN-QC-46","Saint-Léonard 3.5 SSW","7/20/2019","9/30/2019","9/30/2019",1,100,1,,,1,0,,0,"Closed","CAN","Quebec",,202,"CoCoRaHS","9/6/2022"
"CAN-QC-45","Deux-Montagnes 3.7 ESE","7/19/2019","7/20/2019","1/15/2025",1024,51,1011,4,13,2007,4,,0,"Reporting","CAN","Quebec",,82,"CoCoRaHS","1/15/2025"
"CAN-QC-44","Saint-Apollinaire 6.8 NE","3/25/2019",,,0,,,,,,0,,0,"Closed","CAN","Quebec",,538,"CoCoRaHS","8/19/2022"
"CAN-QC-43","Gatineau 0.2 SSW","3/23/2019",,,0,,,,,,0,,0,"Closed","CAN","Quebec",,180,"CoCoRaHS","6/11/2020"
"CAN-QC-42","Rapides-des-Joachims 2.6 NW","3/4/2019","3/5/2019","10/31/2022",1329,99,1270,25,59,1337,8,,0,"Closed","CAN","Quebec",,409,"CoCoRaHS","10/31/2022"
"CAN-QC-41","Montréal 1.9 S","10/29/2018","11/2/2018","2/10/2025",2255,98,1972,73,283,2293,4,1,17,"Reporting","CAN","Quebec",,106,"CoCoRaHS","2/10/2025"
"CAN-QC-40","Val-Bélair 1.2 WSW","8/9/2018","8/17/2018","11/1/2018",68,88,64,2,4,77,0,,0,"Closed","CAN","Quebec",,716,"CoCoRaHS","8/10/2020"
